Date,chat GPT
01/12/2022,1
02/12/2022,1
03/12/2022,2
04/12/2022,2
05/12/2022,4
06/12/2022,7
07/12/2022,9
08/12/2022,11
09/12/2022,12
10/12/2022,10
11/12/2022,15
12/12/2022,18
13/12/2022,18
14/12/2022,17
15/12/2022,16
16/12/2022,15
17/12/2022,11
18/12/2022,10
19/12/2022,15
20/12/2022,16
21/12/2022,14
22/12/2022,14
23/12/2022,14
24/12/2022,11
25/12/2022,12
26/12/2022,11
27/12/2022,12
28/12/2022,13
29/12/2022,15
30/12/2022,15
31/12/2022,11
01/01/2023,12
02/01/2023,17
03/01/2023,20
04/01/2023,22
05/01/2023,23
06/01/2023,23
07/01/2023,21
08/01/2023,24
09/01/2023,30
10/01/2023,32
11/01/2023,37
12/01/2023,35
13/01/2023,33
14/01/2023,25
15/01/2023,27
16/01/2023,36
17/01/2023,39
18/01/2023,42
19/01/2023,38
20/01/2023,35
21/01/2023,29
22/01/2023,33
23/01/2023,42
24/01/2023,46
25/01/2023,45
26/01/2023,44
27/01/2023,42
28/01/2023,35
29/01/2023,39
30/01/2023,52
31/01/2023,50
01/02/2023,50
02/02/2023,50
03/02/2023,53
04/02/2023,43
05/02/2023,44
06/02/2023,52
07/02/2023,59
08/02/2023,56
09/02/2023,58
10/02/2023,50
11/02/2023,42
12/02/2023,47
13/02/2023,53
14/02/2023,54
15/02/2023,53
16/02/2023,53
17/02/2023,48
18/02/2023,41
19/02/2023,46
20/02/2023,49
21/02/2023,59
22/02/2023,55
23/02/2023,55
24/02/2023,48
25/02/2023,40
26/02/2023,43
27/02/2023,59
28/02/2023,60
01/03/2023,53
02/03/2023,53
03/03/2023,48
04/03/2023,41
05/03/2023,43
06/03/2023,56
07/03/2023,58
08/03/2023,58
09/03/2023,57
10/03/2023,54
11/03/2023,45
12/03/2023,48
13/03/2023,61
14/03/2023,68
15/03/2023,78
16/03/2023,82
17/03/2023,70
18/03/2023,58
19/03/2023,61
20/03/2023,100
21/03/2023,79
22/03/2023,72
23/03/2023,68
24/03/2023,64
25/03/2023,52
26/03/2023,55
27/03/2023,73
28/03/2023,75
29/03/2023,78
30/03/2023,82
31/03/2023,70
01/04/2023,59
02/04/2023,56
03/04/2023,71
04/04/2023,74
05/04/2023,70
06/04/2023,66
07/04/2023,58
08/04/2023,52
09/04/2023,52
10/04/2023,70
11/04/2023,74
12/04/2023,72
13/04/2023,72
14/04/2023,66
15/04/2023,51
16/04/2023,55
17/04/2023,72
18/04/2023,77
19/04/2023,74
20/04/2023,68
21/04/2023,61
