Date,Data Science,Data Analysis,Machine Learning,Data Engineering
2013-01,2,20,9,2
2013-02,2,23,9,2
2013-03,2,23,9,2
2013-04,4,26,10,2
2013-05,3,24,10,2
2013-06,3,22,9,2
2013-07,4,21,9,2
2013-08,3,20,9,2
2013-09,3,26,10,3
2013-10,4,28,11,2
2013-11,4,27,11,2
2013-12,4,23,11,2
2014-01,5,26,11,2
2014-02,5,27,12,3
2014-03,5,28,11,3
2014-04,5,29,12,2
2014-05,6,29,12,2
2014-06,6,26,10,2
2014-07,6,24,12,2
2014-08,8,23,12,2
2014-09,7,29,12,3
2014-10,8,29,13,2
2014-11,8,31,13,2
2014-12,8,26,12,2
2015-01,9,27,13,2
2015-02,9,29,14,3
2015-03,10,31,15,2
2015-04,10,33,15,3
2015-05,10,32,15,2
2015-06,11,29,16,2
2015-07,11,27,17,2
2015-08,11,27,16,2
2015-09,13,33,18,3
2015-10,13,34,20,2
2015-11,12,33,21,2
2015-12,12,27,19,2
2016-01,13,31,21,2
2016-02,14,33,22,3
2016-03,15,33,24,2
2016-04,14,36,24,3
2016-05,16,37,23,2
2016-06,16,34,25,2
2016-07,15,29,23,2
2016-08,15,30,25,3
2016-09,18,34,29,3
2016-10,18,37,30,2
2016-11,20,39,34,2
2016-12,18,32,32,2
2017-01,22,37,35,3
2017-02,23,40,37,3
2017-03,25,43,43,3
2017-04,25,41,42,3
2017-05,26,41,44,3
2017-06,27,37,44,2
2017-07,27,37,43,2
2017-08,28,35,44,3
2017-09,29,40,48,3
2017-10,31,43,53,3
2017-11,31,46,55,3
2017-12,27,36,52,3
2018-01,34,43,52,3
2018-02,35,44,55,3
2018-03,35,46,58,3
2018-04,35,45,58,3
2018-05,36,46,57,3
2018-06,36,40,57,3
2018-07,37,41,58,3
2018-08,38,45,57,3
2018-09,41,44,63,3
2018-10,42,48,66,4
2018-11,39,48,64,3
2018-12,35,40,57,3
2019-01,45,45,61,3
2019-02,45,49,67,3
2019-03,46,49,67,3
2019-04,46,50,65,4
2019-05,47,49,63,4
2019-06,51,47,66,3
2019-07,53,48,65,3
2019-08,55,45,65,4
2019-09,58,53,69,4
2019-10,54,52,70,4
2019-11,55,52,69,4
2019-12,49,47,64,4
2020-01,57,54,69,4
2020-02,61,53,71,4
2020-03,47,47,57,4
2020-04,52,49,64,4
2020-05,56,51,67,4
2020-06,55,52,65,4
2020-07,59,52,65,4
2020-08,57,49,64,4
2020-09,57,54,69,5
2020-10,52,51,60,5
2020-11,45,48,56,4
2020-12,46,49,54,4
2021-01,51,45,53,4
2021-02,49,51,55,4
2021-03,49,58,56,4
2021-04,51,56,57,5
2021-05,52,56,57,4
2021-06,53,60,61,5
2021-07,53,52,59,5
2021-08,54,53,53,5
2021-09,56,57,58,5
2021-10,53,56,59,5
2021-11,59,58,65,5
2021-12,55,61,60,5
2022-01,75,75,77,7
2022-02,76,86,83,7
2022-03,81,92,91,7
2022-04,79,90,93,7
2022-05,77,86,89,7
2022-06,79,91,89,8
2022-07,80,84,83,7
2022-08,83,85,77,8
2022-09,83,92,87,8
2022-10,76,86,88,8
2022-11,77,92,95,8
2022-12,69,81,86,7
2023-01,78,91,93,8
2023-02,79,100,95,8
2023-03,77,98,91,8
2023-04,75,94,89,8
