"Date","London futures (£ sterling/tonne)","New York futures (US$/tonne)","ICCO daily price (US$/tonne)","ICCO daily price (Euro/tonne)"
"15/05/2023","2,231.67","2,981.00","2,891.43","2,660.26"
"12/05/2023","2,238.00","2,987.67","2,890.07","2,663.34"
"11/05/2023","2,235.33","3,011.33","2,907.05","2,663.15"
"10/05/2023","2,234.33","3,028.00","2,925.93","2,668.01"
"09/05/2023","2,221.00","3,007.00","2,907.51","2,654.70"
"08/05/2023","2,206.83","2,964.00","2,878.93","2,612.48"
"05/05/2023","2,192.67","2,946.00","2,861.89","2,596.02"
"04/05/2023","2,176.33","2,922.67","2,833.29","2,572.77"
"03/05/2023","2,157.67","2,869.00","2,790.92","2,526.20"
"02/05/2023","2,177.33","2,895.00","2,808.71","2,553.12"
"01/05/2023","2,181.50","2,932.00","2,832.16","2,582.37"
"28/04/2023","2,185.67","2,936.33","2,845.90","2,578.81"
"27/04/2023","2,192.00","2,912.67","2,826.61","2,565.85"
"26/04/2023","2,195.67","2,938.00","2,842.28","2,573.40"
"25/04/2023","2,190.33","2,912.33","2,817.29","2,568.10"
"24/04/2023","2,210.00","2,957.67","2,859.64","2,592.27"
"21/04/2023","2,234.33","2,965.67","2,873.82","2,619.05"
"20/04/2023","2,212.00","2,938.67","2,849.07","2,598.35"
"19/04/2023","2,221.67","2,956.33","2,863.43","2,614.31"
"18/04/2023","2,221.00","2,949.00","2,857.85","2,608.22"
"17/04/2023","2,199.33","2,901.67","2,814.04","2,578.36"
"14/04/2023","2,196.33","2,915.67","2,825.76","2,573.71"
"13/04/2023","2,183.33","2,941.00","2,842.12","2,571.41"
"12/04/2023","2,162.67","2,893.00","2,799.41","2,547.32"
"11/04/2023","2,186.67","2,923.33","2,822.21","2,588.39"
"10/04/2023","2,181.00","2,874.67","2,791.46","2,570.80"
"06/04/2023","2,175.33","2,884.33","2,800.12","2,562.53"
"05/04/2023","2,155.00","2,884.67","2,788.62","2,554.37"
"04/04/2023","2,137.67","2,891.33","2,784.86","2,543.00"
"03/04/2023","2,121.67","2,842.67","2,740.75","2,516.69"
"31/03/2023","2,155.67","2,895.33","2,784.13","2,561.26"
"30/03/2023","2,129.33","2,892.67","2,766.36","2,538.41"
