date,imports,exports
1700,70.2,32.3
1702,72.7,36.8
1704,73.8,39.2
1706,75.7,42.5
1708,78.6,50.3
1710,81.9,59.1
1712,83.9,68.2
1714,86.1,76.6
1716,87.8,78.6
1718,91.1,77.5
1720,96.9,76.6
1722,100.2,74.6
1724,100.8,74
1726,100.8,71.1
1728,98.6,67.8
1730,95.6,63.6
1732,93.6,61.3
1734,92,61.1
1736,92.5,61.6
1738,91.8,62.7
1740,92.5,65.1
1742,93.1,70.4
1744,92,74.2
1746,91.4,76
1748,89.6,76.8
1750,89.2,77.9
1752,84.5,80.4
1754,80,80.8
1756,77.5,86.4
1758,76.8,96.3
1760,77.3,120
1762,77.9,133.3
1764,79.7,146.6
1766,81.7,152
1768,83.4,159
1770,85.2,163.4
1772,89.2,169
1774,92.5,174.9
1776,92.9,180.7
1778,93.8,183.4
1780,94.2,185.3
